Inputs:
Holmium ore       | 0.0050/s
Holmium plate(Q4) | 0.2833/s
Holmium plate(Q5) | 0.0556/s
Lava              | 10750.7091/s
Sulfuric acid     | 447.7763/s

Outputs:
Ingredient(grid 1x1) | 0.0083/s
Ingredient(grid 1x2) | 0.0044/s
Ingredient(grid 2x4) | 0.0022/s
Ingredient(grid 4x4) | 0.0067/s
Mech armor(Q5)       | 0.0006/s

Recipes:
Acid neutralisation --> Chem plant                                            | 2.2228
BC(Q3) --> EMP[Prod 2(Q3) x5, Beacon[Speed 3 x2] x8]                          | 0.0325
BC(Q4) --> EMP[Prod 2(Q5) x5, Beacon[Speed 3 x2] x12]                         | 0.0544
BC(Q5) --> EMP[Prod 2(Q5) x5, Beacon[Speed 3 x2] x12]                         | 0.0097
Battery equipment recycling(Q4) --> Recycler[Qual 2(Q3) x4]                   | 0.0417
Battery equipment(Q4) --> Asm 3[Qual 2(Q3) x4]                                | 0.3062
Battery equipment(Q5) --> Asm 2                                               | 0.0070
Battery(Q4) --> Chem plant[Prod 2 x3, Beacon[Speed 3 x2]]                     | 0.2462
Big electric pole recycling(Q4) --> Recycler[Qual 3(Q5) x4]                   | 0.0079
Big electric pole recycling(Q5) --> Recycler[Speed x4, Beacon[Speed 3 x2] x4] | 0.0004
Big electric pole(Q4) --> EMP[Qual 3(Q4) x5]                                  | 0.0294
Calcite --> Big mining drill[Speed x4, Beacon[Speed 3 x2]]                    | 2.2168
Cargo wagon --> Asm 3[Qual 2 x4]                                              | 8.1412
Cargo wagon recycling --> Recycler[Qual 2(Q3) x4]                             | 1.1703
Cargo wagon recycling(Q2) --> Recycler[Qual 3(Q4) x4]                         | 0.0916
Cargo wagon recycling(Q3) --> Recycler[Qual 2(Q5) x4]                         | 0.0092
Cargo wagon recycling(Q4) --> Recycler[Qual 3(Q5) x4]                         | 0.0009
Cargo wagon recycling(Q5) --> Recycler[Speed x4, Beacon[Speed 3 x2] x4]       | 0.0000
Casting LDS(Q2) --> Foundry[Qual 2 x4]                                        | 7.9092
Casting LDS(Q3) --> Foundry[Qual 2 x4]                                        | 1.1266
Casting LDS(Q4) --> Foundry[Prod 2(Q5) x4, Beacon[Speed 3 x2] x12]            | 0.0472
Casting UG pipe --> Foundry[Qual 2 x4]                                        | 11.6436
Casting UG pipe(Q2) --> Foundry[Qual 2(Q3) x4]                                | 0.2109
Casting UG pipe(Q2) --> Foundry[Qual 2 x4]                                    | 0.7766
Casting UG pipe(Q3) --> Foundry[Qual 2(Q3) x4]                                | 0.3397
Casting UG pipe(Q4) --> Foundry[Qual 2(Q3) x4]                                | 0.0748
Casting UG pipe(Q5) --> Foundry[Speed x4, Beacon[Speed 3 x2]]                 | 0.0061
Casting iron --> Foundry[Speed x4, Beacon[Speed 3 x2]]                        | 7.1011
Casting iron gear wheel --> Foundry[Speed x4, Beacon[Speed 3 x2]]             | 3.2871
Casting pipe --> Foundry[Speed x4, Beacon[Speed 3 x2]]                        | 12.3258
Casting steel --> Foundry[Speed x4, Beacon[Speed 3 x2]]                       | 21.5346
Cluster grenade --> Asm 3[Qual 2 x4]                                          | 6.2453
Cluster grenade recycling --> Recycler[Qual 2 x4]                             | 0.8978
Cluster grenade recycling(Q2) --> Recycler[Qual 2(Q3) x4]                     | 0.0703
Cluster grenade recycling(Q3) --> Recycler[Qual 3(Q4) x4]                     | 0.0070
Cluster grenade recycling(Q4) --> Recycler[Qual 2(Q5) x4]                     | 0.0007
Cluster grenade recycling(Q5) --> Recycler[Speed x4, Beacon[Speed 3 x2] x4]   | 0.0000
Coal --> Big mining drill[Qual 2 x4]                                          | 34.1921
Coal liquefaction --> Refinery[Speed x3, Beacon[Speed 2 x2]]                  | 5.9989
