Inputs:
Sulfuric acid | 379.5383/s
Lava          | 1676.5439/s

Outputs:
Speed 2(Q2) | 0.0001/s
Speed       | 0.1927/s
Prod(Q3)    | 0.0018/s
Prod 2      | 0.0013/s
Prod 2(Q3)  | 0.0006/s
Qual 2(Q4)  | 0.0039/s
Prod 2(Q5)  | 0.0005/s
Qual 2(Q3)  | 0.0158/s
Speed 2     | 0.0166/s
Qual 2(Q2)  | 0.0436/s
Prod(Q2)    | 0.0030/s
Speed(Q2)   | 0.0046/s
Prod(Q5)    | 0.0020/s
Qual 2      | 0.1676/s
Prod        | 0.0204/s
Qual 2(Q5)  | 0.0011/s
Qual        | 0.1100/s
Prod 2(Q4)  | 0.0017/s
Prod(Q4)    | 0.0005/s

Recipes:
Acid neutralisation --> Chem plant                                | 1.8790
BC --> Asm 2                                                      | 8.2443
BC(Q2) --> EMP[Prod x5, Beacon[Speed 2 x2]]                       | 0.2883
BC(Q3) --> EMP[Prod 2 x5, Beacon[Speed 2 x2]]                     | 0.0889
BC(Q4) --> EMP[Prod 2 x5, Beacon[Speed 2 x2]]                     | 0.0289
BC(Q5) --> EMP[Prod 2 x5, Beacon[Speed 2 x2]]                     | 0.0062
Calcite --> Big mining drill[Speed x4, Beacon[Speed 2 x2]]        | 0.4604
Casting LDS(Q2) --> Foundry[Qual x4]                              | 1.3606
Casting LDS(Q2) --> Foundry[Qual 2 x4]                            | 1.2395
Casting LDS(Q3) --> Foundry[Qual 2 x4]                            | 0.3587
Casting LDS(Q4) --> Foundry[Qual 2 x4]                            | 0.0254
Casting UG pipe --> Foundry[Qual 2 x4]                            | 2.3543
Casting UG pipe(Q2) --> Foundry[Qual 2 x4]                        | 0.1857
Casting UG pipe(Q3) --> Foundry[Qual 2 x4]                        | 0.0374
Casting UG pipe(Q4) --> Foundry[Qual 2 x4]                        | 0.0077
Casting UG pipe(Q5) --> Foundry[Speed x4, Beacon[Speed 2 x2]]     | 0.0006
Casting copper cable --> Foundry[Speed x4, Beacon[Speed 2 x2]]    | 3.3581
Casting iron --> Foundry[Speed x4, Beacon[Speed 2 x2]]            | 1.6184
Casting pipe --> Foundry[Speed x4, Beacon[Speed 2 x2]]            | 3.1744
Coal --> Big mining drill[Speed x4, Beacon[Speed 2 x2]]           | 1.8906
Coal --> Big mining drill[Qual 2 x4]                              | 8.3951
Coal liquefaction --> Refinery                                    | 13.8614
