Inputs:
Holmium plate(Q4)  | 0.2333/s
Holmium plate(Q5)  | 0.0167/s
Lava               | 12030.5014/s
Sulfuric acid      | 443.8039/s
Supercapacitor(Q4) | 0.0583/s
Supercapacitor(Q5) | 0.0042/s
Superconductor(Q4) | 0.0583/s
Superconductor(Q5) | 0.0042/s

Outputs:
Ingredient(grid 1x1) | 0.0063/s
Ingredient(grid 1x2) | 0.0033/s
Ingredient(grid 2x4) | 0.0017/s
Ingredient(grid 4x4) | 0.0050/s
Mech armor(Q5)       | 0.0004/s

Recipes:
Acid neutralisation --> Chem plant                                               | 2.2062
BC(Q3) --> EMP[Prod 2 x5, Beacon[Speed 3 x2] x8]                                 | 0.0826
BC(Q4) --> EMP[Prod 2(Q3) x5, Beacon[Speed 3 x2] x12]                            | 0.0689
BC(Q5) --> EMP[Prod 2(Q4) x5, Beacon[Speed 3 x2] x12]                            | 0.0033
Battery equipment recycling(Q4) --> Recycler[Qual 2(Q2) x4]                      | 0.0367
Battery equipment(Q4) --> Asm 3[Qual 2(Q2) x4]                                   | 0.2619
Battery equipment(Q5) --> Asm 2                                                  | 0.0081
Battery(Q4) --> Chem plant[Prod 2 x3, Beacon[Speed 3 x2] x2]                     | 0.1258
Big electric pole recycling(Q3) --> Recycler[Qual 2(Q3) x4]                      | 0.0295
Big electric pole recycling(Q4) --> Recycler[Qual 2(Q5) x4]                      | 0.0104
Big electric pole recycling(Q5) --> Recycler[Speed x4, Beacon[Speed 3 x2] x4]    | 0.0003
Big electric pole(Q3) --> EMP[Qual 2(Q3) x5]                                     | 0.0999
Big electric pole(Q4) --> EMP[Qual 2(Q3) x5]                                     | 0.0182
Calcite --> Big mining drill[Speed x4, Beacon[Speed 2 x2]]                       | 3.0250
Cargo wagon --> Asm 3[Qual 2 x4]                                                 | 9.7118
Cargo wagon recycling --> Recycler[Qual 2 x4]                                    | 0.3012
Cargo wagon recycling --> Recycler[Qual 2(Q2) x4]                                | 1.0948
