Inputs:
Heavy oil | 314.5409/s

Outputs:
Qual 3(Q5) | 0.0083/s

Recipes:
BC recycling --> Recycler[Qual x4]                                 | 8.5030
BC(Q4) --> EMP[Prod 2(Q4) x5, Beacon[Speed 3 x2] x12]              | 0.0130
BC(Q5) --> EMP[Prod 2(Q5) x5, Beacon[Speed 3 x2] x12]              | 0.0038
Concrete recycling(Q5) --> Recycler[, Beacon[Speed 2 x2]]          | 0.0036
Copper cable --> Asm 2                                             | 6.0923
Copper cable --> EMP[Speed x5, Beacon[Speed 3 x2] x2]              | 0.0919
Copper cable recycling(Q3) --> Recycler[Qual 2 x4]                 | 0.0186
Copper cable(Q2) --> EMP[Speed x5, Beacon[Speed 3 x2] x2]          | 0.0232
Copper cable(Q3) --> EMP[Qual 2 x5]                                | 0.1670
Copper cable(Q4) --> EMP[Qual 3 x5]                                | 0.0155
Copper cable(Q4) --> EMP[Qual 2(Q2) x5]                            | 0.0053
Copper cable(Q5) --> EMP[Prod 2(Q5) x5, Beacon[Speed 3 x2] x12]    | 0.0004
EMP --> EMP[Qual 3 x5]                                             | 2.2892
EMP recycling --> Recycler[Qual 3(Q2) x4]                          | 0.4488
EMP recycling --> Recycler[Qual 2(Q2) x4]                          | 0.2554
EMP recycling(Q2) --> Recycler[Qual 3(Q3) x4]                      | 0.1555
EMP recycling(Q3) --> Recycler[Qual 2(Q5) x4]                      | 0.0202
EMP recycling(Q4) --> Recycler[Qual 2(Q5) x4]                      | 0.0020
EMP recycling(Q5) --> Recycler[, Beacon[Speed 2 x2]]               | 0.0001
EMP(Q2) --> EMP[Qual 3(Q2) x5]                                     | 0.2200
Express splitter --> Foundry[Qual 2(Q2) x4]                        | 2.2279
Express splitter recycling --> Recycler[Qual 2(Q2) x4]             | 1.4971
Express splitter recycling(Q2) --> Recycler[Qual 3(Q3) x4]         | 0.2996
Express splitter recycling(Q3) --> Recycler[Qual 3(Q3) x4]         | 0.0402
Express splitter recycling(Q4) --> Recycler[Qual 2(Q5) x4]         | 0.0040
Express splitter recycling(Q5) --> Recycler[, Beacon[Speed 2 x2]]  | 0.0002
Express splitter(Q2) --> Foundry[Qual 3(Q3) x4]                    | 0.2273
Fast splitter --> Foundry[Speed x4, Beacon[Speed 3 x2] x6]         | 0.1521
Fast splitter recycling(Q3) --> Recycler[Qual 3 x4]                | 0.0227
Fast splitter recycling(Q4) --> Recycler[Qual 3(Q2) x4]            | 0.0037
Fast splitter recycling(Q5) --> Recycler[, Beacon[Speed 2 x2]]     | 0.0003
Fast splitter(Q2) --> Foundry[Speed x4, Beacon[Speed 3 x2] x6]     | 0.0031
GC --> EMP[Speed x5, Beacon[Speed 3 x2] x2]                        | 0.2601
GC recycling(Q3) --> Recycler[Qual 3 x4]                           | 0.0064
GC(Q2) --> EMP[Prod 2 x5, Beacon[Speed 3 x2] x6]                   | 0.0010
GC(Q3) --> EMP[Qual 2 x5]                                          | 0.1744
GC(Q4) --> EMP[Prod 2(Q3) x5, Beacon[Speed 3 x2] x8]               | 0.0068
GC(Q5) --> EMP[Prod 2(Q5) x5, Beacon[Speed 3 x2] x12]              | 0.0014
